,MATCHUP,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_DIST,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,player_name,player_id,DATE,TIMESTAMP,Name (Shooter),Games Played,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birth_Place,Birthdate,Collage,Experience,Height (Shooter),Pos,Team,Weight,BMI,CD Last Name,CD First Name,CD NAME,Name (CD),Height (CD)
0,"MAR 04, 2015 - CHA @ BKN",7,4,00:10:15,20.7,missed,"Jack, Jarrett",101127,6.1,Brian Roberts,203148,2015-03-04 00:00:00,2015-03-04 00:10:15,Brian Roberts,72.0,1330.0,480.0,176.0,452.0,38.9,62.0,193.0,32.1,66.0,74.0,89.2,13.0,96.0,109.0,162.0,33.0,6.0,57.0,75.0,449.0,2.84,0.58,30.0,us,3-Dec-85,University of Dayton,2,182.5,PG,CHA,77.85,23.37399137,Jack, Jarrett,Jarrett Jack,Jarrett Jack,187.5
1,"NOV 13, 2014 - GSW vs. BKN",7,4,00:11:32,4.7,made,"Jack, Jarrett",101127,2.5,Leandro Barbosa,2571,2014-11-13 00:00:00,2014-11-13 00:11:32,Leandro Barbosa,66.0,982.0,467.0,183.0,386.0,47.4,43.0,112.0,38.4,58.0,74.0,78.4,23.0,68.0,91.0,99.0,41.0,8.0,44.0,87.0,443.0,2.25,0.93,33.0,br,28-Nov-82,,11,187.5,SG,GSW,87.3,24.831999999999997,Jack, Jarrett,Jarrett Jack,Jarrett Jack,187.5
2,"DEC 05, 2014 - ATL @ BKN",10,4,00:10:37,6.5,made,"Jack, Jarrett",101127,2.7,Al Horford,201143,2014-12-05 00:00:00,2014-12-05 00:10:37,Al Horford,76.0,2318.0,1156.0,519.0,965.0,53.8,11.0,36.0,30.6,107.0,141.0,75.9,131.0,413.0,544.0,244.0,68.0,98.0,100.0,121.0,1530.0,2.44,0.68,29.0,do,3-Jun-86,University of Florida,7,205.0,C,ATL,110.25,26.2343843,Jack, Jarrett,Jarrett Jack,Jarrett Jack,187.5
3,"JAN 30, 2015 - TOR @ BKN",6,4,00:11:31,20.9,missed,"Jack, Jarrett",101127,4.3,Greivis Vasquez,202349,2015-01-30 00:00:00,2015-01-30 00:11:31,Greivis Vasquez,82.0,1991.0,775.0,296.0,725.0,40.8,133.0,351.0,37.9,50.0,66.0,75.8,22.0,194.0,216.0,302.0,46.0,10.0,119.0,177.0,785.0,2.54,0.39,28.0,ve,16-Jan-87,University of Maryland,4,195.0,PG,TOR,97.65,25.68047337,Jack, Jarrett,Jarrett Jack,Jarrett Jack,187.5
4,"JAN 30, 2015 - TOR @ BKN",7,4,00:10:04,25.7,missed,"Jack, Jarrett",101127,3.2,Greivis Vasquez,202349,2015-01-30 00:00:00,2015-01-30 00:10:04,Greivis Vasquez,82.0,1991.0,775.0,296.0,725.0,40.8,133.0,351.0,37.9,50.0,66.0,75.8,22.0,194.0,216.0,302.0,46.0,10.0,119.0,177.0,785.0,2.54,0.39,28.0,ve,16-Jan-87,University of Maryland,4,195.0,PG,TOR,97.65,25.68047337,Jack, Jarrett,Jarrett Jack,Jarrett Jack,187.5
5,"DEC 17, 2014 - TOR vs. BKN",8,4,00:11:19,9.3,made,"Jack, Jarrett",101127,3.7,Greivis Vasquez,202349,2014-12-17 00:00:00,2014-12-17 00:11:19,Greivis Vasquez,82.0,1991.0,775.0,296.0,725.0,40.8,133.0,351.0,37.9,50.0,66.0,75.8,22.0,194.0,216.0,302.0,46.0,10.0,119.0,177.0,785.0,2.54,0.39,28.0,ve,16-Jan-87,University of Maryland,4,195.0,PG,TOR,97.65,25.68047337,Jack, Jarrett,Jarrett Jack,Jarrett Jack,187.5
6,"DEC 17, 2014 - TOR vs. BKN",6,4,00:10:50,4.8,made,"Jack, Jarrett",101127,2.5,Lou Williams,101150,2014-12-17 00:00:00,2014-12-17 00:10:50,Lou Williams,80.0,2016.0,1242.0,375.0,928.0,40.4,152.0,447.0,34.0,340.0,395.0,86.1,24.0,127.0,151.0,164.0,88.0,10.0,101.0,103.0,946.0,1.62,0.87,29.0,us,27-Oct-86,,9,182.5,SG,TOR,78.75,23.64421092,Jack, Jarrett,Jarrett Jack,Jarrett Jack,187.5
7,"NOV 26, 2014 - PHI vs. BKN",7,4,00:11:48,24.6,made,"Jack, Jarrett",101127,4.1,Michael Carter-Williams,203487,2014-11-26 00:00:00,2014-11-26 00:11:48,Michael Carter-Williams,66.0,2150.0,966.0,364.0,919.0,39.6,36.0,153.0,23.5,202.0,291.0,69.4,64.0,289.0,353.0,442.0,111.0,30.0,253.0,167.0,1005.0,1.75,0.44,24.0,us,10-Oct-91,Syracuse University,1,195.0,PG,PHI,85.5,22.485207100000004,Jack, Jarrett,Jarrett Jack,Jarrett Jack,187.5
8,"NOV 07, 2014 - NYK @ BKN",4,4,00:10:11,20.7,missed,"Jack, Jarrett",101127,4.0,Shane Larkin,203499,2014-11-07 00:00:00,2014-11-07 00:10:11,Shane Larkin,76.0,1865.0,470.0,187.0,432.0,43.3,35.0,116.0,30.2,61.0,78.0,78.2,29.0,147.0,176.0,226.0,93.0,9.0,83.0,150.0,629.0,2.72,1.12,23.0,us,2-Oct-92,University of Miami,1,177.5,PG,NYK,78.75,24.99504067,Jack, Jarrett,Jarrett Jack,Jarrett Jack,187.5
9,"FEB 27, 2015 - HOU vs. BKN",8,4,00:10:28,23.0,missed,"Jack, Jarrett",101127,3.7,Trevor Ariza,2772,2015-02-27 00:00:00,2015-02-27 00:10:28,Trevor Ariza,82.0,2930.0,1048.0,366.0,910.0,40.2,194.0,555.0,35.0,122.0,143.0,85.3,77.0,382.0,459.0,209.0,152.0,17.0,141.0,186.0,1179.0,1.48,1.08,30.0,us,30-Jun-85,"University of California, Los Angeles",10,200.0,SF,HOU,96.75,24.1875,Jack, Jarrett,Jarrett Jack,Jarrett Jack,187.5
